Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-20;Mujer;Latina;Entre 56 y 65 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio
ene-20;Hombre;Fuencarral-el Pardo;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;9820;Reponedores;5500;Cajeros y taquilleros (excepto bancos)
ene-20;Mujer;Villaverde;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;9100;Empleados domésticos;5891;Asistentes personales o personas de compañía
ene-20;Mujer;Retiro;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;4412;Recepcionistas (excepto de hoteles);4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-20;Hombre;Vicálvaro;Entre 36 y 45 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;7531;Mecánicos y reparadores de equipos electrónicos;9700;Peones de las industrias manufactureras
ene-20;Hombre;Centro;Entre 26 y 35 años;Comunitaria;7191;Mantenedores de edificios;7231;Pintores y empapeladores;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-20;Hombre;Fuencarral-el Pardo;Entre 36 y 45 años;Española;9310;Ayudantes de cocina;5120;Camareros asalariados;;
ene-20;Mujer;Puente De Vallecas;Menor de 25 años;Española;5220;Vendedores en tiendas y almacenes;9320;Preparadores de comidas rápidas;9820;Reponedores
ene-20;Mujer;Retiro;Entre 46 y 55 años;Española;2922;Periodistas;3613;Asistentes de dirección y administrativos;2322;Profesores de enseñanza no reglada de idiomas
ene-20;Mujer;Otro Municipio;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9811;Peones del transporte de mercancías y descargadores;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Tetuán;Entre 46 y 55 años;Extracomunitaria;8333;Operadores de carretillas elevadoras;9811;Peones del transporte de mercancías y descargadores;3521;Mediadores y agentes de seguros
ene-20;Mujer;Centro;Entre 56 y 65 años;Comunitaria;2230;Profesores de enseñanza secundaria (excepto materias específicas de formación profesional);2931;Artistas de artes plásticas y visuales;;
ene-20;Hombre;Villaverde;Entre 26 y 35 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;8412;Conductores asalariados de automóviles, taxis y furgonetas;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Centro;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9229;Otro personal de limpieza;;
ene-20;Hombre;Carabanchel;Entre 56 y 65 años;Extracomunitaria;7121;Albañiles;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;9602;Peones de la construcción de edificios
ene-20;Hombre;Villaverde;Entre 56 y 65 años;Española;3521;Mediadores y agentes de seguros;5833;Conserjes de edificios;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-20;Mujer;Puente De Vallecas;Entre 46 y 55 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Latina;Entre 36 y 45 años;Extracomunitaria;9310;Ayudantes de cocina;9820;Reponedores;9811;Peones del transporte de mercancías y descargadores
ene-20;Hombre;Chamberí;Entre 46 y 55 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4424;Teleoperadores;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-20;Mujer;Latina;Entre 26 y 35 años;Española;9229;Otro personal de limpieza;5500;Cajeros y taquilleros (excepto bancos);9820;Reponedores
ene-20;Hombre;Centro;Entre 56 y 65 años;Española;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;5833;Conserjes de edificios;;
ene-20;Mujer;Carabanchel;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;;;;
ene-20;Hombre;Retiro;Entre 46 y 55 años;Española;;;;;;
ene-20;Hombre;Moratalaz;Entre 46 y 55 años;Española;7121;Albañiles;;;;
ene-20;Mujer;Latina;Entre 36 y 45 años;Extracomunitaria;9100;Empleados domésticos;;;;
ene-20;Mujer;Vicálvaro;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9100;Empleados domésticos;5722;Cuidadores de niños en domicilios
ene-20;Mujer;Usera;Entre 46 y 55 años;Comunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5721;Cuidadores de niños en guarderías y centros educativos;2251;Maestros de educación infantil
ene-20;Hombre;Retiro;Menor de 25 años;Extracomunitaria;7312;Soldadores y oxicortadores;7121;Albañiles;;
ene-20;Hombre;Ciudad Lineal;Entre 56 y 65 años;Extracomunitaria;2432;Ingenieros en construcción y obra civil;3613;Asistentes de dirección y administrativos;7510;Electricistas de la construcción y afines
ene-20;Mujer;Puente De Vallecas;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5500;Cajeros y taquilleros (excepto bancos);9820;Reponedores
ene-20;Hombre;Villaverde;Entre 56 y 65 años;Española;8432;Conductores asalariados de camiones;9811;Peones del transporte de mercancías y descargadores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Villaverde;Entre 46 y 55 años;Extracomunitaria;8193;Operadores de máquinas de embalaje, embotellamiento y etiquetado;9700;Peones de las industrias manufactureras;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Ciudad Lineal;Entre 36 y 45 años;Comunitaria;9431;Ordenanzas;4411;Empleados de información al usuario;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Vicálvaro;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;3510;Agentes y representantes comerciales;5420;Operadores de telemarketing
ene-20;Mujer;Latina;Entre 36 y 45 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines
ene-20;Hombre;Retiro;Menor de 25 años;Extracomunitaria;9602;Peones de la construcción de edificios;9602;Peones de la construcción de edificios;;
ene-20;Mujer;Hortaleza;Entre 56 y 65 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5722;Cuidadores de niños en domicilios;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Villa De Vallecas;Entre 26 y 35 años;Española;9310;Ayudantes de cocina;9320;Preparadores de comidas rápidas;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Usera;Entre 26 y 35 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9811;Peones del transporte de mercancías y descargadores;9700;Peones de las industrias manufactureras
ene-20;Hombre;Barajas;Entre 36 y 45 años;Española;3723;Instructores de actividades deportivas;3722;Entrenadores y árbitros de actividades deportivas;2625;Especialistas en formación de personal
ene-20;Hombre;Moratalaz;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Hombre;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;7401;Mecánicos y ajustadores de vehículos de motor;9811;Peones del transporte de mercancías y descargadores;;
ene-20;Mujer;Latina;Entre 46 y 55 años;Española;9229;Otro personal de limpieza;4309;Empleados administrativos sin tareas de atención al público no clasificados bajo otros epígrafes;;
ene-20;Mujer;San Blas;Entre 36 y 45 años;Extracomunitaria;5420;Operadores de telemarketing;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;3614;Secretarios de centros médicos o clínicas
ene-20;Mujer;Tetuán;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;4424;Teleoperadores;;
ene-20;Mujer;Retiro;Entre 36 y 45 años;Española;5500;Cajeros y taquilleros (excepto bancos);9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;5120;Camareros asalariados
ene-20;Mujer;Moratalaz;Entre 46 y 55 años;Española;4123;Empleados de logística y transporte de pasajeros y mercancías;3522;Agentes de compras;;
ene-20;Hombre;Villa De Vallecas;Entre 26 y 35 años;Española;2599;Profesionales del derecho no clasificados bajo otros epígrafes;4112;Empleados de control de personal y nóminas;4422;Recepcionistas de hoteles
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Latina;Entre 46 y 55 años;Española;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;9811;Peones del transporte de mercancías y descargadores;9700;Peones de las industrias manufactureras
ene-20;Hombre;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
ene-20;Hombre;Carabanchel;Entre 36 y 45 años;Española;;;;;;
ene-20;Hombre;Usera;Entre 26 y 35 años;Extracomunitaria;9820;Reponedores;7221;Fontaneros;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;2652;Profesionales de relaciones públicas;2624;Especialistas en políticas y servicios de personal y afines;2311;Profesores de educación especial
ene-20;Hombre;Otro Municipio;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados;7703;Panaderos, pasteleros y confiteros
ene-20;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5710;Trabajadores de los cuidados personales a domicilio;5611;Auxiliares de enfermería hospitalaria
ene-20;Hombre;San Blas;Menor de 25 años;Comunitaria;9811;Peones del transporte de mercancías y descargadores;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
ene-20;Hombre;San Blas;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;1221;Directores comerciales y de ventas;3510;Agentes y representantes comerciales
ene-20;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;7820;Ebanistas y trabajadores afines;8209;Montadores y ensambladores no clasificados en otros epígrafes;7899;Oficiales, operarios y artesanos de otros oficios no clasificados bajo otros epígrafes
ene-20;Mujer;San Blas;Entre 36 y 45 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;8193;Operadores de máquinas de embalaje, embotellamiento y etiquetado;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Salamanca;Entre 56 y 65 años;Española;4412;Recepcionistas (excepto de hoteles);3724;Monitores de actividades recreativas y de entretenimiento;;
ene-20;Mujer;Ciudad Lineal;Menor de 25 años;Española;5120;Camareros asalariados;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Carabanchel;Entre 56 y 65 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;5220;Vendedores en tiendas y almacenes;;
ene-20;Mujer;Usera;Menor de 25 años;Española;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-20;Mujer;Otro Municipio;Entre 46 y 55 años;Española;4112;Empleados de control de personal y nóminas;3613;Asistentes de dirección y administrativos;4121;Empleados de control de abastecimientos e inventario
ene-20;Hombre;Tetuán;Entre 46 y 55 años;Española;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Arganzuela;Entre 36 y 45 años;Española;9431;Ordenanzas;5833;Conserjes de edificios;;
ene-20;Hombre;Moratalaz;Menor de 25 años;Española;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;;
ene-20;Mujer;Fuencarral-el Pardo;Entre 36 y 45 años;Española;4424;Teleoperadores;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;;
ene-20;Mujer;Carabanchel;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5220;Vendedores en tiendas y almacenes;3613;Asistentes de dirección y administrativos
ene-20;Mujer;Moncloa-aravaca;Entre 26 y 35 años;Extracomunitaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;;
ene-20;Hombre;Centro;Entre 36 y 45 años;Española;2922;Periodistas;2921;Escritores;;
ene-20;Mujer;Moncloa-aravaca;Entre 26 y 35 años;Extracomunitaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;;
ene-20;Mujer;Moncloa-aravaca;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;2482;Diseñadores de productos y de prendas
ene-20;Mujer;Moncloa-aravaca;Menor de 25 años;Española;5611;Auxiliares de enfermería hospitalaria;3713;Profesionales de apoyo al trabajo y a la educación social;5710;Trabajadores de los cuidados personales a domicilio
ene-20;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;7191;Mantenedores de edificios;;
ene-20;Mujer;Moncloa-aravaca;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;;
ene-20;Mujer;Moncloa-aravaca;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;5220;Vendedores en tiendas y almacenes
ene-20;Mujer;Retiro;Entre 26 y 35 años;Extracomunitaria;5611;Auxiliares de enfermería hospitalaria;9310;Ayudantes de cocina;5710;Trabajadores de los cuidados personales a domicilio
ene-20;Hombre;Moncloa-aravaca;Entre 36 y 45 años;Española;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;;
ene-20;Mujer;Arganzuela;Entre 36 y 45 años;Extracomunitaria;5611;Auxiliares de enfermería hospitalaria;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Moratalaz;Entre 46 y 55 años;Extracomunitaria;4424;Teleoperadores;5220;Vendedores en tiendas y almacenes;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Centro;Entre 46 y 55 años;Española;2624;Especialistas en políticas y servicios de personal y afines;3613;Asistentes de dirección y administrativos;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-20;Hombre;Latina;Entre 46 y 55 años;Española;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5710;Trabajadores de los cuidados personales a domicilio;9820;Reponedores
ene-20;Hombre;Chamartín;Entre 36 y 45 años;Extracomunitaria;9602;Peones de la construcción de edificios;;;;
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;9820;Reponedores;5710;Trabajadores de los cuidados personales a domicilio;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Hortaleza;Entre 46 y 55 años;Española;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores;9700;Peones de las industrias manufactureras
ene-20;Mujer;Moratalaz;Entre 46 y 55 años;Española;5721;Cuidadores de niños en guarderías y centros educativos;5500;Cajeros y taquilleros (excepto bancos);5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados
ene-20;Mujer;Retiro;Entre 46 y 55 años;Española;5210;Jefes de sección de tiendas y almacenes;4412;Recepcionistas (excepto de hoteles);5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Vicálvaro;Entre 46 y 55 años;Española;8432;Conductores asalariados de camiones;8420;Conductores de autobuses y tranvías;7191;Mantenedores de edificios
ene-20;Hombre;Puente De Vallecas;Entre 56 y 65 años;Española;5833;Conserjes de edificios;7221;Fontaneros;9443;Barrenderos y afines
ene-20;Hombre;Centro;Entre 36 y 45 años;Extracomunitaria;2441;Ingenieros en electricidad;;;;
ene-20;Hombre;Tetuán;Entre 26 y 35 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;5500;Cajeros y taquilleros (excepto bancos);2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
ene-20;Hombre;Puente De Vallecas;Entre 36 y 45 años;Española;5500;Cajeros y taquilleros (excepto bancos);;;;
ene-20;Hombre;Usera;Menor de 25 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Otro Municipio;Menor de 25 años;Española;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);5220;Vendedores en tiendas y almacenes
